CCHE1D_Channel,Reach_ID,Contributing_Cell_ID_Source,Contributing_Cell_ID_Right,Contributing_Cell_ID_Left,Upstream_Reach_ID_1,Upstream_Reach_ID_2,y_US,x_US,y_DS,x_DS
569,244,0,2442,2443,252.0,245.0,3796099.6207244,237391.11401283,3796105.6207244,237325.11401283
573,240,0,2402,2403,244.0,241.0,3796105.6207244,237324.11401283,3795924.6207244,237014.11401283
561,252,2521,2522,2523,,,3795998.6207244,237449.11401283,3796098.6207244,237392.11401283
582,231,0,2312,2313,237.0,232.0,3796098.6207244,236960.11401283,3796030.6207244,236786.11401283
606,207,0,2072,2073,209.0,208.0,3796086.6207244,236437.11401283,3795926.6207244,236386.11401283
495,318,3181,3182,3183,,,3796071.6207244,237896.11401283,3796002.6207244,237939.11401283
616,197,0,1972,1973,199.0,198.0,3796065.6207244,236095.11401283,3795695.6207244,236206.11401283
494,319,0,3192,3193,321.0,320.0,3796046.6207244,238010.11401283,3796002.6207244,237940.11401283
586,227,2271,2272,2273,,,3796034.6207244,236653.11401283,3795965.6207244,236638.11401283
584,229,0,2292,2293,231.0,230.0,3796030.6207244,236785.11401283,3795963.6207244,236673.11401283
496,317,0,3172,3173,319.0,318.0,3796001.6207244,237939.11401283,3795614.6207244,237932.11401283
620,193,1931,1932,1933,,,3795995.6207244,235739.11401283,3795868.6207244,235898.11401283
613,200,2001,2002,2003,,,3795969.6207244,236212.11401283,3795695.6207244,236207.11401283
585,228,0,2282,2283,238.0,229.0,3795962.6207244,236672.11401283,3795964.6207244,236639.11401283
587,226,0,2262,2263,228.0,227.0,3795964.6207244,236638.11401283,3795926.6207244,236397.11401283
575,238,0,2382,2383,258.0,239.0,3795934.6207244,236916.11401283,3795962.6207244,236673.11401283
588,225,2251,2252,2253,,,3795954.6207244,236512.11401283,3795928.6207244,236397.11401283
608,205,2051,2052,2053,,,3795953.6207244,236353.11401283,3795906.6207244,236366.11401283
634,179,1791,1792,1793,,,3795948.6207244,235477.11401283,3795810.6207244,235588.11401283
574,239,0,2392,2393,253.0,240.0,3795924.6207244,237013.11401283,3795934.6207244,236917.11401283
555,258,0,2582,2583,262.0,259.0,3795879.6207244,236919.11401283,3795933.6207244,236917.11401283
589,224,0,2242,2243,226.0,225.0,3795927.6207244,236396.11401283,3795925.6207244,236386.11401283
607,206,0,2062,2063,224.0,207.0,3795925.6207244,236385.11401283,3795906.6207244,236367.11401283
560,253,0,2532,2533,255.0,254.0,3795895.6207244,237068.11401283,3795923.6207244,237014.11401283
609,204,0,2042,2043,206.0,205.0,3795905.6207244,236366.11401283,3795858.6207244,236352.11401283
559,254,2541,2542,2543,,,3795870.6207244,237159.11401283,3795896.6207244,237068.11401283
558,255,0,2552,2553,257.0,256.0,3795802.6207244,237222.11401283,3795896.6207244,237069.11401283
550,263,2631,2632,2633,,,3795884.6207244,236419.11401283,3795858.6207244,236353.11401283
549,264,2641,2642,2643,,,3795608.6207244,236741.11401283,3795780.6207244,236266.11401283
551,262,2621,2622,2623,,,3795718.6207244,236849.11401283,3795878.6207244,236918.11401283
554,259,0,2592,2593,261.0,260.0,3795659.6207244,237096.11401283,3795878.6207244,236919.11401283
502,311,3111,3112,3113,,,3795870.6207244,237728.11401283,3795559.6207244,237766.11401283
621,192,0,1922,1923,194.0,193.0,3795868.6207244,235899.11401283,3795576.6207244,236118.11401283
610,203,0,2032,2033,263.0,204.0,3795857.6207244,236352.11401283,3795781.6207244,236266.11401283
633,180,1801,1802,1803,,,3795835.6207244,235600.11401283,3795810.6207244,235589.11401283
557,256,2561,2562,2563,,,3795819.6207244,237447.11401283,3795802.6207244,237223.11401283
635,178,0,1782,1783,180.0,179.0,3795809.6207244,235589.11401283,3795598.6207244,235611.11401283
547,266,2661,2662,2663,,,3795808.6207244,236423.11401283,3795704.6207244,236315.11401283
556,257,2571,2572,2573,,,3795763.6207244,237212.11401283,3795801.6207244,237223.11401283
611,202,0,2022,2023,264.0,203.0,3795780.6207244,236265.11401283,3795718.6207244,236248.11401283
630,183,1831,1832,1833,,,3795744.6207244,235738.11401283,3795328.6207244,235831.11401283
636,177,1771,1772,1773,,,3795734.6207244,235402.11401283,3795597.6207244,235611.11401283
498,315,3151,3152,3153,,,3795725.6207244,237847.11401283,3795577.6207244,237838.11401283
548,265,0,2652,2653,267.0,266.0,3795703.6207244,236314.11401283,3795718.6207244,236249.11401283
612,201,0,2012,2013,265.0,202.0,3795717.6207244,236248.11401283,3795690.6207244,236207.11401283
546,267,2671,2672,2673,,,3795626.6207244,236420.11401283,3795702.6207244,236315.11401283
617,196,0,1962,1963,200.0,197.0,3795694.6207244,236206.11401283,3795690.6207244,236206.11401283
618,195,0,1952,1953,201.0,196.0,3795689.6207244,236206.11401283,3795575.6207244,236118.11401283
639,174,1741,1742,1743,,,3795660.6207244,235282.11401283,3795532.6207244,235317.11401283
552,261,2611,2612,2613,,,3795592.6207244,237034.11401283,3795658.6207244,237096.11401283
553,260,2601,2602,2603,,,3795622.6207244,237121.11401283,3795658.6207244,237097.11401283
497,316,0,3162,3163,422.0,317.0,3795613.6207244,237932.11401283,3795577.6207244,237839.11401283
491,422,0,4222,4223,424.0,423.0,3795436.6207244,238036.11401283,3795613.6207244,237933.11401283
637,176,0,1762,1763,178.0,177.0,3795597.6207244,235612.11401283,3795334.6207244,235650.11401283
508,305,3051,3052,3053,,,3795596.6207244,237481.11401283,3795357.6207244,237456.11401283
640,173,1731,1732,1733,,,3795587.6207244,235171.11401283,3795532.6207244,235316.11401283
628,185,1851,1852,1853,,,3795586.6207244,235875.11401283,3795360.6207244,235877.11401283
499,314,0,3142,3143,316.0,315.0,3795576.6207244,237838.11401283,3795561.6207244,237818.11401283
622,191,0,1912,1913,195.0,192.0,3795575.6207244,236117.11401283,3795427.6207244,236041.11401283
509,304,3041,3042,3043,,,3795567.6207244,237383.11401283,3795357.6207244,237455.11401283
500,313,0,3132,3133,425.0,314.0,3795560.6207244,237818.11401283,3795540.6207244,237798.11401283
488,425,4251,4252,4253,,,3795534.6207244,237845.11401283,3795560.6207244,237819.11401283
503,310,0,3102,3103,312.0,311.0,3795558.6207244,237765.11401283,3795386.6207244,237661.11401283
501,312,0,3122,3123,426.0,313.0,3795541.6207244,237797.11401283,3795558.6207244,237766.11401283
487,426,4261,4262,4263,,,3795358.6207244,237832.11401283,3795540.6207244,237797.11401283
641,172,0,1722,1723,174.0,173.0,3795531.6207244,235317.11401283,3795447.6207244,235369.11401283
505,308,3081,3082,3083,,,3795530.6207244,237583.11401283,3795222.6207244,237486.11401283
539,274,2741,2742,2743,,,3795499.6207244,236600.11401283,3795403.6207244,236426.11401283
638,175,1751,1752,1753,,,3795471.6207244,235502.11401283,3795423.6207244,235498.11401283
517,296,2961,2962,2963,,,3795465.6207244,237193.11401283,3795099.6207244,237191.11401283
