Reach_ID,Receiving_Reach,Vegetation_Code,Elevation,Slope,Mannings_n,Infiltration_Rate,Hydraulic_Geom_ID,Length,Top_Width,Flow_Depth,Valley_Width,Valley_Mannings_n,Start_Diversion,Stop_Diversion,Travel_Time,Clay_Scour_Code,Silt_Scour_Code,Sand_Scour_Code,Small_Agg_Scour_Code,Large_Agg_Scour_Code,Valley_Clay_Scour_Code,Valley_Silt_Scour_Code,Valley_Sand_Scour_Code,Valley_Small_Agg_Scour_Code,Valley_Large_Agg_Scour_Code,Delivery_Ratio,Input_Units_Code
130,129,,93.58,0.02741,,,,102.15,,,,,,,,,,,,,,,,,,,1
131,129,,93.61,0.03117,,,,109.08,,,,,,,,,,,,,,,,,,,1
132,128,,92.01,0.04120,,,,82.53,,,,,,,,,,,,,,,,,,,1
133,123,,83.74,0.00911,,,,32.90,,,,,,,,,,,,,,,,,,,1
134,122,,82.60,0.00199,,,,151.17,,,,,,,,,,,,,,,,,,,1
135,121,,78.40,0.00002,,,,52.11,,,,,,,,,,,,,,,,,,,1
136,135,,78.86,0.00250,,,,279.68,,,,,,,,,,,,,,,,,,,1
137,136,,79.19,0.00282,,,,106.40,,,,,,,,,,,,,,,,,,,1
138,137,,83.09,0.02127,,,,216.31,,,,,,,,,,,,,,,,,,,1
139,137,,79.66,0.00206,,,,292.05,,,,,,,,,,,,,,,,,,,1
140,139,,81.57,0.01188,,,,252.43,,,,,,,,,,,,,,,,,,,1
141,140,,85.14,0.01601,,,,193.60,,,,,,,,,,,,,,,,,,,1
142,141,,86.51,0.01127,,,,62.14,,,,,,,,,,,,,,,,,,,1
143,141,,86.46,0.02072,,,,33.80,,,,,,,,,,,,,,,,,,,1
144,140,,83.00,0.00002,,,,64.43,,,,,,,,,,,,,,,,,,,1
145,144,,83.20,0.00772,,,,90.60,,,,,,,,,,,,,,,,,,,1
146,145,,87.47,0.01756,,,,461.22,,,,,,,,,,,,,,,,,,,1
147,146,,91.92,0.00779,,,,38.56,,,,,,,,,,,,,,,,,,,1
148,146,,93.24,0.01184,,,,211.11,,,,,,,,,,,,,,,,,,,1
149,148,,94.82,0.01647,,,,54.63,,,,,,,,,,,,,,,,,,,1
150,149,,97.99,0.03748,,,,173.41,,,,,,,,,,,,,,,,,,,1
151,149,,96.68,0.03049,,,,114.78,,,,,,,,,,,,,,,,,,,1
152,148,,96.97,0.02042,,,,259.55,,,,,,,,,,,,,,,,,,,1
153,145,,90.72,0.02092,,,,721.87,,,,,,,,,,,,,,,,,,,1
154,144,,83.00,0.00002,,,,15.73,,,,,,,,,,,,,,,,,,,1
155,154,,83.00,0.00002,,,,2.41,,,,,,,,,,,,,,,,,,,1
156,155,,83.00,0.00002,,,,73.91,,,,,,,,,,,,,,,,,,,1
157,156,,85.50,0.02076,,,,154.10,,,,,,,,,,,,,,,,,,,1
158,156,,83.24,0.00233,,,,171.00,,,,,,,,,,,,,,,,,,,1
159,158,,83.48,0.00131,,,,76.11,,,,,,,,,,,,,,,,,,,1
160,159,,83.50,0.00002,,,,26.49,,,,,,,,,,,,,,,,,,,1
161,160,,85.48,0.09840,,,,29.46,,,,,,,,,,,,,,,,,,,1
162,161,,86.65,0.00526,,,,76.08,,,,,,,,,,,,,,,,,,,1
163,162,,87.04,0.01440,,,,34.70,,,,,,,,,,,,,,,,,,,1
164,162,,88.14,0.02832,,,,180.10,,,,,,,,,,,,,,,,,,,1
165,161,,86.63,0.00467,,,,107.23,,,,,,,,,,,,,,,,,,,1
166,160,,83.60,0.00107,,,,93.50,,,,,,,,,,,,,,,,,,,1
167,166,,83.84,0.00314,,,,127.12,,,,,,,,,,,,,,,,,,,1
168,167,,85.24,0.01538,,,,162.58,,,,,,,,,,,,,,,,,,,1
169,168,,88.03,0.01274,,,,204.07,,,,,,,,,,,,,,,,,,,1
170,169,,90.22,0.02054,,,,141.18,,,,,,,,,,,,,,,,,,,1
171,170,,94.98,0.07859,,,,58.53,,,,,,,,,,,,,,,,,,,1
172,170,,93.24,0.02634,,,,117.71,,,,,,,,,,,,,,,,,,,1
173,172,,98.08,0.02998,,,,173.44,,,,,,,,,,,,,,,,,,,1
174,172,,97.27,0.02559,,,,164.12,,,,,,,,,,,,,,,,,,,1
175,169,,91.56,0.06471,,,,55.63,,,,,,,,,,,,,,,,,,,1
176,168,,88.80,0.01075,,,,362.99,,,,,,,,,,,,,,,,,,,1
177,176,,95.36,0.02436,,,,336.61,,,,,,,,,,,,,,,,,,,1
178,176,,92.80,0.01858,,,,274.42,,,,,,,,,,,,,,,,,,,1
179,178,,97.43,0.02066,,,,232.28,,,,,,,,,,,,,,,,,,,1
180,178,,95.96,0.03735,,,,34.80,,,,,,,,,,,,,,,,,,,1
181,167,,84.30,0.00350,,,,199.97,,,,,,,,,,,,,,,,,,,1
182,181,,85.13,0.03606,,,,27.73,,,,,,,,,,,,,,,,,,,1
183,182,,90.73,0.01872,,,,507.55,,,,,,,,,,,,,,,,,,,1
184,182,,88.01,0.04533,,,,61.77,,,,,,,,,,,,,,,,,,,1
185,184,,89.47,0.01109,,,,288.53,,,,,,,,,,,,,,,,,,,1
186,184,,88.75,0.00688,,,,87.25,,,,,,,,,,,,,,,,,,,1
187,181,,84.70,0.00002,,,,25.97,,,,,,,,,,,,,,,,,,,1
188,187,,85.00,0.00414,,,,168.89,,,,,,,,,,,,,,,,,,,1
189,188,,85.42,0.00151,,,,66.46,,,,,,,,,,,,,,,,,,,1
190,189,,85.71,0.00427,,,,70.33,,,,,,,,,,,,,,,,,,,1
191,190,,86.25,0.00324,,,,185.55,,,,,,,,,,,,,,,,,,,1
192,191,,90.81,0.01804,,,,426.83,,,,,,,,,,,,,,,,,,,1
193,192,,97.70,0.02642,,,,230.91,,,,,,,,,,,,,,,,,,,1
194,192,,98.78,0.01953,,,,445.40,,,,,,,,,,,,,,,,,,,1
195,191,,87.54,0.00997,,,,180.62,,,,,,,,,,,,,,,,,,,1
196,195,,88.20,0.00002,,,,5.00,,,,,,,,,,,,,,,,,,,1
197,196,,91.08,0.01553,,,,482.90,,,,,,,,,,,,,,,,,,,1
198,197,,99.79,0.02136,,,,346.39,,,,,,,,,,,,,,,,,,,1
199,197,,100.46,0.01787,,,,542.79,,,,,,,,,,,,,,,,,,,1
200,196,,92.89,0.02648,,,,358.75,,,,,,,,,,,,,,,,,,,1
201,195,,88.20,0.00002,,,,79.36,,,,,,,,,,,,,,,,,,,1
202,201,,88.20,0.00002,,,,70.04,,,,,,,,,,,,,,,,,,,1
203,202,,88.28,0.00139,,,,141.30,,,,,,,,,,,,,,,,,,,1
204,203,,88.87,0.01180,,,,59.36,,,,,,,,,,,,,,,,,,,1
205,204,,92.30,0.06176,,,,61.53,,,,,,,,,,,,,,,,,,,1
206,204,,89.10,0.00002,,,,29.63,,,,,,,,,,,,,,,,,,,1
207,206,,90.23,0.01030,,,,203.79,,,,,,,,,,,,,,,,,,,1
208,207,,95.81,0.06333,,,,102.64,,,,,,,,,,,,,,,,,,,1
209,207,,93.06,0.03792,,,,205.72,,,,,,,,,,,,,,,,,,,1
210,209,,99.40,0.00798,,,,162.94,,,,,,,,,,,,,,,,,,,1
211,210,,100.31,0.00369,,,,26.90,,,,,,,,,,,,,,,,,,,1
212,210,,101.42,0.02493,,,,120.30,,,,,,,,,,,,,,,,,,,1
213,209,,99.00,0.00001,,,,94.56,,,,,,,,,,,,,,,,,,,1
214,213,,99.69,0.00721,,,,332.88,,,,,,,,,,,,,,,,,,,1
215,214,,102.73,0.01820,,,,181.38,,,,,,,,,,,,,,,,,,,1
216,214,,102.73,0.01634,,,,177.44,,,,,,,,,,,,,,,,,,,1
217,213,,99.00,0.00002,,,,141.04,,,,,,,,,,,,,,,,,,,1
