26704
CP_ID	CP_CSID	CP_POSIDX	CP_W	CP_Z	CP_RGH	CP_BLOCK
331	42	3	-13	2	0.025	1
332	42	4	-10	0	0.025	1
333	42	5	10	0	0.025	1
334	42	6	13	2	0.025	1
335	42	7	35	2	0.025	1
336	42	8	43	6	0.025	1
337	43	1	-43	6	0.025	1
338	43	2	-35	2	0.025	1
339	43	3	-13	2	0.025	1
340	43	4	-10	0	0.025	1
341	43	5	10	0	0.025	1
342	43	6	13	2	0.025	1
343	43	7	35	2	0.025	1
344	43	8	43	6	0.025	1
345	44	1	-43	6	0.025	1
346	44	2	-35	2	0.025	1
347	44	3	-13	2	0.025	1
348	44	4	-10	0	0.025	1
349	44	5	10	0	0.025	1
350	44	6	13	2	0.025	1
351	44	7	35	2	0.025	1
352	44	8	43	6	0.025	1
353	45	1	-43	6	0.025	1
354	45	2	-35	2	0.025	1
355	45	3	-13	2	0.025	1
356	45	4	-10	0	0.025	1
357	45	5	10	0	0.025	1
358	45	6	13	2	0.025	1
359	45	7	35	2	0.025	1
360	45	8	43	6	0.025	1
361	46	1	-43	6	0.025	1
362	46	2	-35	2	0.025	1
363	46	3	-13	2	0.025	1
364	46	4	-10	0	0.025	1
365	46	5	10	0	0.025	1
366	46	6	13	2	0.025	1
367	46	7	35	2	0.025	1
368	46	8	43	6	0.025	1
369	47	1	-43	6	0.025	1
370	47	2	-35	2	0.025	1
371	47	3	-13	2	0.025	1
372	47	4	-10	0	0.025	1
373	47	5	10	0	0.025	1
374	47	6	13	2	0.025	1
375	47	7	35	2	0.025	1
376	47	8	43	6	0.025	1
377	48	1	-43	6	0.025	1
378	48	2	-35	2	0.025	1
379	48	3	-13	2	0.025	1
380	48	4	-10	0	0.025	1
381	48	5	10	0	0.025	1
382	48	6	13	2	0.025	1
383	48	7	35	2	0.025	1
384	48	8	43	6	0.025	1
385	49	1	-43	6	0.025	1
386	49	2	-35	2	0.025	1
387	49	3	-13	2	0.025	1
388	49	4	-10	0	0.025	1
389	49	5	10	0	0.025	1
390	49	6	13	2	0.025	1
391	49	7	35	2	0.025	1
392	49	8	43	6	0.025	1
393	50	1	-43	6	0.025	1
394	50	2	-35	2	0.025	1
395	50	3	-13	2	0.025	1
396	50	4	-10	0	0.025	1
397	50	5	10	0	0.025	1
398	50	6	13	2	0.025	1
399	50	7	35	2	0.025	1
400	50	8	43	6	0.025	1
401	51	1	-43	6	0.025	1
402	51	2	-35	2	0.025	1
403	51	3	-13	2	0.025	1
404	51	4	-10	0	0.025	1
405	51	5	10	0	0.025	1
406	51	6	13	2	0.025	1
407	51	7	35	2	0.025	1
408	51	8	43	6	0.025	1
409	52	1	-43	6	0.025	1
410	52	2	-35	2	0.025	1
411	52	3	-13	2	0.025	1
412	52	4	-10	0	0.025	1
413	52	5	10	0	0.025	1
414	52	6	13	2	0.025	1
415	52	7	35	2	0.025	1
416	52	8	43	6	0.025	1
417	53	1	-43	6	0.025	1
418	53	2	-35	2	0.025	1
419	53	3	-13	2	0.025	1
420	53	4	-10	0	0.025	1
421	53	5	10	0	0.025	1
422	53	6	13	2	0.025	1
423	53	7	35	2	0.025	1
424	53	8	43	6	0.025	1
425	54	1	-43	6	0.025	1
426	54	2	-35	2	0.025	1
427	54	3	-13	2	0.025	1
428	54	4	-10	0	0.025	1
429	54	5	10	0	0.025	1
430	54	6	13	2	0.025	1
431	54	7	35	2	0.025	1
432	54	8	43	6	0.025	1
433	55	1	-43	6	0.025	1
434	55	2	-35	2	0.025	1
435	55	3	-13	2	0.025	1
436	55	4	-10	0	0.025	1
437	55	5	10	0	0.025	1
438	55	6	13	2	0.025	1
439	55	7	35	2	0.025	1
440	55	8	43	6	0.025	1
441	56	1	-43	6	0.025	1
442	56	2	-35	2	0.025	1
443	56	3	-13	2	0.025	1
444	56	4	-10	0	0.025	1
445	56	5	10	0	0.025	1
446	56	6	13	2	0.025	1
447	56	7	35	2	0.025	1
448	56	8	43	6	0.025	1
449	57	1	-43	6	0.025	1
450	57	2	-35	2	0.025	1
451	57	3	-13	2	0.025	1
452	57	4	-10	0	0.025	1
453	57	5	10	0	0.025	1
454	57	6	13	2	0.025	1
455	57	7	35	2	0.025	1
456	57	8	43	6	0.025	1
457	58	1	-43	6	0.025	1
458	58	2	-35	2	0.025	1
459	58	3	-13	2	0.025	1
460	58	4	-10	0	0.025	1
461	58	5	10	0	0.025	1
462	58	6	13	2	0.025	1
463	58	7	35	2	0.025	1
464	58	8	43	6	0.025	1
465	59	1	-43	6	0.025	1
