811
LK_ID	LK_CMPSEQ	LK_NDUSID	LK_NDDSID	LK_RCUSID	LK_RCDSID	LK_TYPE
312	312	39968	40065	312	312	1
313	313	40066	40100	313	313	1
314	314	40101	40231	314	314	1
315	315	40232	40321	315	315	1
316	316	40322	40399	316	316	1
317	317	40400	40419	317	317	1
318	318	40420	40554	318	318	1
319	319	40555	40738	319	319	1
320	320	40739	40968	320	320	1
321	321	40969	41037	321	321	1
322	322	41038	41111	322	322	1
323	323	41112	41212	323	323	1
324	324	41213	41434	324	324	1
325	325	41435	41450	325	325	1
326	326	41451	41661	326	326	1
327	327	41662	41865	327	327	1
328	328	41866	41905	328	328	1
329	329	41906	42074	329	329	1
330	330	42075	42289	330	330	1
331	331	42290	42416	331	331	1
332	332	42417	42534	332	332	1
333	333	42535	42560	333	333	1
334	334	42561	42756	334	334	1
335	335	42757	42894	335	335	1
336	336	42895	42940	336	336	1
337	337	42941	42996	337	337	1
338	338	42997	43009	338	338	1
339	339	43010	43210	339	339	1
340	340	43211	43295	340	340	1
341	341	43296	43314	341	341	1
342	342	43315	43360	342	342	1
343	343	43361	43419	343	343	1
344	344	43420	43438	344	344	1
345	345	43439	43716	345	345	1
346	346	43717	43752	346	346	1
347	347	43753	43893	347	347	1
348	348	43894	44010	348	348	1
349	349	44011	44121	349	349	1
350	350	44122	44154	350	350	1
351	351	44155	44281	351	351	1
352	352	44282	44360	352	352	1
353	353	44361	44381	353	353	1
354	354	44382	44545	354	354	1
355	355	44546	44722	355	355	1
356	356	44723	44781	356	356	1
357	357	44782	44863	357	357	1
358	358	44864	45037	358	358	1
359	359	45038	45097	359	359	1
360	360	45098	45269	360	360	1
361	361	45270	45337	361	361	1
362	362	45338	45659	362	362	1
363	363	45660	45687	363	363	1
364	364	45688	45712	364	364	1
365	365	45713	45994	365	365	1
366	366	45995	46170	366	366	1
367	367	46171	46354	367	367	1
368	368	46355	46424	368	368	1
369	369	46425	46523	369	369	1
370	370	46524	46702	370	370	1
371	371	46703	46763	371	371	1
372	372	46764	46853	372	372	1
373	373	46854	46968	373	373	1
374	374	46969	47107	374	374	1
375	375	47108	47290	375	375	1
376	376	47291	47369	376	376	1
377	377	47370	47416	377	377	1
378	378	47417	47418	378	378	1
379	379	47419	47578	379	379	1
380	380	47579	47759	380	380	1
381	381	47760	47807	381	381	1
382	382	47808	47965	382	382	1
383	383	47966	47968	383	383	1
384	384	47969	48114	384	384	1
385	385	48115	48140	385	385	1
386	386	48141	48292	386	386	1
387	387	48293	48303	387	387	1
388	388	48304	48339	388	388	1
389	389	48340	48538	389	389	1
390	390	48539	48670	390	390	1
391	391	48671	48797	391	391	1
392	392	48798	48827	392	392	1
393	393	48828	48869	393	393	1
394	394	48870	48928	394	394	1
395	395	48929	49045	395	395	1
396	396	49046	49216	396	396	1
397	397	49217	49410	397	397	1
398	398	49411	49453	398	398	1
399	399	49454	49628	399	399	1
400	400	49629	49831	400	400	1
401	401	49832	49863	401	401	1
402	402	49864	49901	402	402	1
403	403	49902	50000	403	403	1
404	404	50001	50287	404	404	1
405	405	50288	50678	405	405	1
406	406	50679	50711	406	406	1
407	407	50712	50902	407	407	1
408	408	50903	50952	408	408	1
409	409	50953	50976	409	409	1
410	410	50977	51256	410	410	1
411	411	51257	51281	411	411	1
412	412	51282	51746	412	412	1
413	413	51747	51767	413	413	1
414	414	51768	51856	414	414	1
415	415	51857	52070	415	415	1
416	416	52071	52149	416	416	1
417	417	52150	52187	417	417	1
418	418	52188	52619	418	418	1
419	419	52620	52644	419	419	1
420	420	52645	52713	420	420	1
421	421	52714	52752	421	421	1
422	422	52753	52819	422	422	1
423	423	52820	52921	423	423	1
424	424	52922	53046	424	424	1
425	425	53047	53086	425	425	1
426	426	53087	53350	426	426	1
427	427	53351	53382	427	427	1
428	428	53383	53450	428	428	1
429	429	53451	53487	429	429	1
430	430	53488	53551	430	430	1
431	431	53552	53661	431	431	1
432	432	53662	53702	432	432	1
433	433	53703	53750	433	433	1
434	434	53751	53764	434	434	1
435	435	53765	53867	435	435	1
436	436	53868	54010	436	436	1
437	437	54011	54157	437	437	1
438	438	54158	54250	438	438	1
439	439	54251	54318	439	439	1
440	440	54319	54423	440	440	1
441	441	54424	54483	441	441	1
442	442	54484	54500	442	442	1
443	443	54501	54724	443	443	1
444	444	54725	54810	444	444	1
445	445	54811	54900	445	445	1
446	446	54901	55031	446	446	1
447	447	55032	55085	447	447	1
448	448	55086	55123	448	448	1
449	449	55124	55177	449	449	1
450	450	55178	55319	450	450	1
