1739
CS_ID	CS_NPTS	CS_LOB	CS_LBT	CS_ROB	CS_RBT	CS_SVTYPE	CS_TYPE	CS_ORIGIN	CS_STATION
163	8	1	1	8	8	WZ	MC	USERSPEC	
164	8	1	1	8	8	WZ	MC	USERSPEC	
165	8	1	1	8	8	WZ	MC	USERSPEC	
166	8	1	1	8	8	WZ	MC	USERSPEC	
167	8	1	1	8	8	WZ	MC	USERSPEC	
168	8	1	1	8	8	WZ	MC	USERSPEC	
169	8	1	1	8	8	WZ	MC	USERSPEC	
170	8	1	1	8	8	WZ	MC	USERSPEC	
171	8	1	1	8	8	WZ	MC	USERSPEC	
172	8	1	1	8	8	WZ	MC	USERSPEC	
173	8	1	1	8	8	WZ	MC	USERSPEC	
174	8	1	1	8	8	WZ	MC	USERSPEC	
175	8	1	1	8	8	WZ	MC	USERSPEC	
176	8	1	1	8	8	WZ	MC	USERSPEC	
177	8	1	1	8	8	WZ	MC	USERSPEC	
178	8	1	1	8	8	WZ	MC	USERSPEC	
179	8	1	1	8	8	WZ	MC	USERSPEC	
180	8	1	1	8	8	WZ	MC	USERSPEC	
181	8	1	1	8	8	WZ	MC	USERSPEC	
182	8	1	1	8	8	WZ	MC	USERSPEC	
183	8	1	1	8	8	WZ	MC	USERSPEC	
184	8	1	1	8	8	WZ	MC	USERSPEC	
185	8	1	1	8	8	WZ	MC	USERSPEC	
186	8	1	1	8	8	WZ	MC	USERSPEC	
187	8	1	1	8	8	WZ	MC	USERSPEC	
188	8	1	1	8	8	WZ	MC	USERSPEC	
189	8	1	1	8	8	WZ	MC	USERSPEC	
190	8	1	1	8	8	WZ	MC	USERSPEC	
191	8	1	1	8	8	WZ	MC	USERSPEC	
192	8	1	1	8	8	WZ	MC	USERSPEC	
193	8	1	1	8	8	WZ	MC	USERSPEC	
194	8	1	1	8	8	WZ	MC	USERSPEC	
195	8	1	1	8	8	WZ	MC	USERSPEC	
196	8	1	1	8	8	WZ	MC	USERSPEC	
197	8	1	1	8	8	WZ	MC	USERSPEC	
198	8	1	1	8	8	WZ	MC	USERSPEC	
199	8	1	1	8	8	WZ	MC	USERSPEC	
200	8	1	1	8	8	WZ	MC	USERSPEC	
201	8	1	1	8	8	WZ	MC	USERSPEC	
202	8	1	1	8	8	WZ	MC	USERSPEC	
203	8	1	1	8	8	WZ	MC	USERSPEC	
204	8	1	1	8	8	WZ	MC	USERSPEC	
205	8	1	1	8	8	WZ	MC	USERSPEC	
206	8	1	1	8	8	WZ	MC	USERSPEC	
207	8	1	1	8	8	WZ	MC	USERSPEC	
208	8	1	1	8	8	WZ	MC	USERSPEC	
209	8	1	1	8	8	WZ	MC	USERSPEC	
210	8	1	1	8	8	WZ	MC	USERSPEC	
211	8	1	1	8	8	WZ	MC	USERSPEC	
212	8	1	1	8	8	WZ	MC	USERSPEC	
213	8	1	1	8	8	WZ	MC	USERSPEC	
214	8	1	1	8	8	WZ	MC	USERSPEC	
215	8	1	1	8	8	WZ	MC	USERSPEC	
216	8	1	1	8	8	WZ	MC	USERSPEC	
217	8	1	1	8	8	WZ	MC	USERSPEC	
218	8	1	1	8	8	WZ	MC	USERSPEC	
219	8	1	1	8	8	WZ	MC	USERSPEC	
220	8	1	1	8	8	WZ	MC	USERSPEC	
221	8	1	1	8	8	WZ	MC	USERSPEC	
222	8	1	1	8	8	WZ	MC	USERSPEC	
223	8	1	1	8	8	WZ	MC	USERSPEC	
