Cell_ID,Soil_ID,Mgmt_Field_ID,Reach_ID,Reach_Location_Code,Cell_Area,Time_of_Conc,Avg_Elevation,RCN_Calib_ID,Avg_Land_Slope,Aspect,RUSLE_ls_Fctr,RCN_Rtn_Calib_Fctr,Secondary_Climate_File_ID,Sheet_Flow_Mannings_n,Geology_ID,Conc_Flow_Slope,Conc_Flow_Length,Hydraulic_Geom_ID,Conc_Flow_Hydraulic_Depth,Conc_Flow_Mannings_n,Sheet_Flow_Slope,Sheet_Flow_Length,Shallow_Conc_Flow_Slope,Shallow_Conc_Flow_Length,Delivery_Ratio,Constant_USLE_C_Fctr,Constant_USLE_P_Fctr,All_OC_Calib_Fctr,All_N_Calib_Fctr,All_P_Calib_Fctr,Sheet_and_Rill_Erosion_Calib_Fctr,Gullies_Erosion_Calib_Fctr,Input_Units_Code
1673,,,167,1,0.2031,,85.70,,0.22696,284.08,0.865,,,,,0.00001,0.00,,,,0.05000,50.00,0.16662,8.99,,,,,,,,,1
1682,,,168,1,0.2254,,87.33,,0.20500,115.41,0.721,,,,,0.00001,0.00,,,,0.03199,50.00,0.08985,27.83,,,,,,,,,1
1683,,,168,1,1.8135,,87.98,,0.04836,183.50,0.204,,,,,0.01840,146.79,,,,0.02400,50.00,0.01000,50.00,,,,,,,,,1
1692,,,169,1,0.8248,,92.81,,0.12600,67.38,0.521,,,,,0.08726,56.04,,,,0.04309,50.00,0.11509,50.00,,,,,,,,,1
1693,,,169,1,0.9899,,92.44,,0.12384,194.20,0.521,,,,,0.06384,71.42,,,,0.05629,50.00,0.09052,50.00,,,,,,,,,1
1702,,,170,1,0.8579,,96.42,,0.16940,16.44,0.732,,,,,0.14936,18.35,,,,0.09091,50.00,0.05228,50.00,,,,,,,,,1
1703,,,170,1,0.8528,,96.65,,0.12543,169.47,0.512,,,,,0.09481,89.19,,,,0.04377,50.00,0.06109,50.00,,,,,,,,,1
1711,,,171,0,1.2001,,103.09,,0.08745,96.08,0.399,,,,,0.04505,128.29,,,,0.02400,50.00,0.08000,50.00,,,,,,,,,1
1712,,,171,1,0.5813,,101.15,,0.10339,27.40,0.482,,,,,0.04141,23.93,,,,0.09026,50.00,0.05592,50.00,,,,,,,,,1
1713,,,171,1,0.1041,,97.44,,0.09783,118.85,0.418,,,,,0.00001,0.00,,,,0.06040,50.00,0.09060,20.20,,,,,,,,,1
1722,,,172,1,0.7885,,99.87,,0.12737,75.08,0.556,,,,,0.08883,85.59,,,,0.04614,50.00,0.07380,50.00,,,,,,,,,1
1723,,,172,1,0.5832,,97.55,,0.13083,220.38,0.560,,,,,0.14253,14.38,,,,0.07160,50.00,0.09040,50.00,,,,,,,,,1
1731,,,173,0,1.4463,,105.28,,0.07371,92.18,0.322,,,,,0.04284,74.25,,,,0.01926,50.00,0.06112,50.00,,,,,,,,,1
1732,,,173,1,0.9920,,102.26,,0.11057,38.65,0.498,,,,,0.05607,19.62,,,,0.03594,50.00,0.09806,50.00,,,,,,,,,1
1733,,,173,1,0.5421,,101.19,,0.11303,177.84,0.505,,,,,0.00001,0.00,,,,0.07509,50.00,0.08306,43.89,,,,,,,,,1
1741,,,174,0,1.3727,,104.13,,0.06440,131.62,0.278,,,,,0.05623,86.26,,,,0.02800,50.00,0.02800,50.00,,,,,,,,,1
1742,,,174,1,0.6425,,101.67,,0.10991,121.15,0.473,,,,,0.05907,167.86,,,,0.01600,50.00,0.02968,50.00,,,,,,,,,1
1743,,,174,1,0.6928,,100.45,,0.14653,236.33,0.625,,,,,0.00001,0.00,,,,0.10183,50.00,0.04780,44.10,,,,,,,,,1
1751,,,175,0,1.2866,,97.74,,0.09778,148.83,0.422,,,,,0.03645,173.60,,,,0.02889,50.00,0.04654,50.00,,,,,,,,,1
