Reach_ID,Upstream_End_Row,Upstream_End_Column,Downstream_End_Row,Downstream_End_Column,Receiving_Reach,Drainage_Area_[ha],Average_Elevation_[m],Reach_Length_[m],Distance_Upstream_End_to_Outlet_[m],Distance_Downstream_End_to_Outlet_[m],Reach_Slope_[m/m],Contributing_Cell_ID_Source,Contributing_Cell_ID_Right,Contributing_Cell_ID_Left
85,3574,2823,3618,2830,83,1.56,80.64,53.70,4334.57,4280.87,0.02980,851,852,853,
86,3221,2936,3674,2860,82,11.83,84.19,838.42,5050.82,4212.40,0.01777,861,862,863,
87,3725,3136,3716,2854,81,1543.09,76.50,322.87,4488.99,4166.12,0.00217,0,872,873,
88,3608,3171,3724,3136,87,5.26,79.97,137.64,4626.62,4488.98,0.02978,0,882,883,
89,3566,3147,3607,3171,88,1.62,81.04,54.87,4681.49,4626.62,0.00729,891,892,893,
90,3413,3162,3607,3172,88,3.39,84.56,286.63,4913.24,4626.60,0.03105,901,902,903,
91,3736,3183,3725,3137,87,1536.82,76.80,51.56,4540.54,4488.99,0.00002,0,912,913,
92,3701,3198,3736,3184,91,5.91,78.35,44.38,4584.93,4540.54,0.07656,0,922,923,
93,3596,3258,3700,3199,92,2.55,80.76,138.34,4723.26,4584.92,0.00940,931,932,933,
94,3661,3419,3701,3199,92,3.18,80.66,256.00,4840.91,4584.91,0.00274,941,942,943,
95,3741,3192,3737,3184,91,1530.76,76.80,11.07,4551.61,4540.54,0.00002,0,952,953,
96,3723,3349,3741,3193,95,1528.86,77.37,177.57,4729.17,4551.60,0.00394,0,962,963,
97,3722,3417,3723,3350,96,1360.28,77.50,77.53,4806.70,4729.17,0.00002,0,972,973,
98,3439,3437,3721,3418,97,42.50,80.31,368.36,5175.03,4806.67,0.01302,0,982,983,
99,3301,3332,3438,3436,98,19.03,83.38,235.88,5410.90,5175.02,0.01145,0,992,993,
100,3275,3164,3300,3332,99,3.40,89.08,197.78,5608.66,5410.88,0.04196,1001,1002,1003,
101,3223,3333,3300,3333,99,13.23,85.78,98.50,5509.38,5410.89,0.01117,0,1012,1013,
102,3080,3207,3223,3332,101,11.23,87.82,229.69,5739.06,5509.37,0.01829,0,1022,1023,
103,3087,3126,3080,3206,102,2.08,93.22,89.70,5828.76,5739.06,0.05797,1031,1032,1033,
